S.No,Date,Tele Caller,Description ,Contact Number,Status,Source,Category,Call Type,Remarks,Company
1,23-04-22,Eswarya,Junk Lead,7639179706,Out of district,CRM,Residence,Inactive,Nil,Budanta
2,23-04-22,Eswarya,Junk Lead,8883850562,Invalid number,CRM,Residence,Inactive,Nil,Budanta
3,23-04-22,Eswarya,Junk Lead,6381888690,Out of district,CRM,Residence,Inactive,Nil,Budanta
4,23-04-22,Eswarya,Junk Lead,9843461465,Out of district,CRM,Residence,Inactive,Nil,Budanta
5,23-04-22,Eswarya,Junk Lead,8098433841,Out of district,CRM,Residence,Inactive,Nil,Budanta
6,23-04-22,Eswarya,Junk Lead,9380351748,Out of district,CRM,Residence,Inactive,Nil,Budanta
7,23-04-22,Eswarya,Junk Lead,9659758850,Out of district,CRM,Residence,Inactive,Nil,Budanta
8,23-04-22,Eswarya,Junk Lead,9942782146,Out of district,CRM,Residence,Inactive,Nil,Budanta
9,23-04-22,Eswarya,Junk Lead,9688623746,Out of district,CRM,Residence,Inactive,Nil,Budanta
10,23-04-22,Eswarya,Junk Lead,8489774109,Out of district,CRM,Residence,Inactive,Nil,Budanta
11,23-04-22,Eswarya,Junk Lead,9943768116,Out of district,CRM,Residence,Inactive,Nil,Budanta
12,23-04-22,Eswarya,Junk Lead,9685741545,Out of district,CRM,Residence,Inactive,Nil,Budanta
13,23-04-22,Eswarya,Junk Lead,9943623376,Out of district,CRM,Residence,Inactive,Nil,Budanta
14,23-04-22,Eswarya,Junk Lead,9976914653,Ringing no response,CRM,Residence,Inactive,Nil,Budanta
15,23-04-22,Eswarya,Junk Lead,9786503781,Ringing no response,CRM,Residence,Inactive,Nil,Budanta
16,23-04-22,Eswarya,Junk Lead,9751168725,Invalid number,CRM,Residence,Inactive,Nil,Budanta
17,23-04-22,Eswarya,Junk Lead,9786503781,Out of district,CRM,Residence,Inactive,Nil,Budanta
18,23-04-22,Eswarya,Junk Lead,9884515267,Out of district,CRM,Residence,Inactive,Nil,Budanta
19,23-04-22,Eswarya,Junk Lead,9685745268,Invalid number,CRM,Residence,Inactive,Nil,Budanta
20,23-04-22,Eswarya,Junk Lead,9884515267,Not required,CRM,Residence,Inactive,Nil,Budanta
21,23-04-22,Eswarya,Junk Lead,9750083376,Invalid number,CRM,Residence,Inactive,Nil,Budanta
22,23-04-22,Eswarya,Junk Lead,9159310843,Out of district,CRM,Residence,Inactive,Nil,Budanta
23,23-04-22,Eswarya,Junk Lead,9786503781,Ringing no response,CRM,Residence,Inactive,Nil,Budanta
24,23-04-22,Eswarya,Junk Lead,9965746915,Out of district,CRM,Residence,Inactive,Nil,Budanta
25,23-04-22,Eswarya,Junk Lead,9786503781,Duplicate,CRM,Residence,Inactive,Nil,Budanta
26,23-04-22,Eswarya,Junk Lead,9976429843,Not required,CRM,Residence,Inactive,Nil,Budanta
27,23-04-22,Eswarya,Junk Lead,9159523885,Out of district,CRM,Residence,Inactive,Nil,Budanta
28,23-04-22,Eswarya,Junk Lead,7010649802,Out of district,CRM,Residence,Inactive,Nil,Budanta
29,23-04-22,Eswarya,Junk Lead,9659931295,Not required,CRM,Residence,Inactive,Nil,Budanta
30,23-04-22,Eswarya,Junk Lead,9942627080,Not required,CRM,Residence,Inactive,Nil,Budanta
31,23-04-22,Eswarya,Junk Lead,9787563323,Out of district,CRM,Residence,Inactive,Nil,Budanta
32,23-04-22,Eswarya,Junk Lead,9965746915,Duplicate,CRM,Residence,Inactive,Nil,Budanta
33,23-04-22,Eswarya,Junk Lead,9965746915,Duplicate,CRM,Residence,Inactive,Nil,Budanta
